domain;country;visibility_index
http://cssp.chemspider.com/;hu;0.0
http://cssp.chemspider.com/;ie;0.0
http://cssp.chemspider.com/;it;0.0
http://cssp.chemspider.com/;jp;0.0
http://cssp.chemspider.com/;nl;0.0
http://cssp.chemspider.com/;no;0.0
http://cssp.chemspider.com/;pl;0.0
http://cssp.chemspider.com/;pt;0.0
http://cssp.chemspider.com/;ro;0.0
http://cssp.chemspider.com/;se;0.0
http://cssp.chemspider.com/;si;0.0
http://cssp.chemspider.com/;sk;0.0
http://cssp.chemspider.com/;tr;0.0
http://cssp.chemspider.com/;uk;0.0
http://cssp.chemspider.com/;us;0.0
http://curation.hsrc.ac.za/;at;0.0
http://curation.hsrc.ac.za/;au;0.0
http://curation.hsrc.ac.za/;be;0.0
http://curation.hsrc.ac.za/;bg;0.0
http://curation.hsrc.ac.za/;br;0.0
http://curation.hsrc.ac.za/;ca;0.0
http://curation.hsrc.ac.za/;ch;0.0
http://curation.hsrc.ac.za/;cz;0.0
http://curation.hsrc.ac.za/;de;0.0
http://curation.hsrc.ac.za/;dk;0.0
http://curation.hsrc.ac.za/;es;0.0
http://curation.hsrc.ac.za/;fi;0.0
http://curation.hsrc.ac.za/;fr;0.0
http://curation.hsrc.ac.za/;gr;0.0
http://curation.hsrc.ac.za/;hr;0.0
http://curation.hsrc.ac.za/;hu;0.0
http://curation.hsrc.ac.za/;ie;0.0
http://curation.hsrc.ac.za/;it;0.0
http://curation.hsrc.ac.za/;jp;0.0
http://curation.hsrc.ac.za/;nl;0.0
http://curation.hsrc.ac.za/;no;0.0
http://curation.hsrc.ac.za/;pl;0.0
http://curation.hsrc.ac.za/;pt;0.0
http://curation.hsrc.ac.za/;ro;0.0
http://curation.hsrc.ac.za/;se;0.0
http://curation.hsrc.ac.za/;si;0.0
http://curation.hsrc.ac.za/;sk;0.0
http://curation.hsrc.ac.za/;tr;0.0
http://curation.hsrc.ac.za/;uk;0.0
http://curation.hsrc.ac.za/;us;0.0
http://cxidb.org/;at;0.0
http://cxidb.org/;au;0.0
http://cxidb.org/;be;0.0
http://cxidb.org/;bg;0.0
http://cxidb.org/;br;0.0
http://cxidb.org/;ca;0.0
http://cxidb.org/;ch;0.0
http://cxidb.org/;cz;0.0
http://cxidb.org/;de;0.0
http://cxidb.org/;dk;0.0
http://cxidb.org/;es;0.0
http://cxidb.org/;fi;0.0
http://cxidb.org/;fr;0.0
http://cxidb.org/;gr;0.0
http://cxidb.org/;hr;0.0
http://cxidb.org/;hu;0.0
http://cxidb.org/;ie;0.0
http://cxidb.org/;it;0.0
http://cxidb.org/;jp;0.0
http://cxidb.org/;nl;0.0
http://cxidb.org/;no;0.0
http://cxidb.org/;pl;0.0
http://cxidb.org/;pt;0.0
http://cxidb.org/;ro;0.0
http://cxidb.org/;se;0.0
http://cxidb.org/;si;0.0
http://cxidb.org/;sk;0.0
http://cxidb.org/;tr;0.0
http://cxidb.org/;uk;0.0
http://cxidb.org/;us;0.0
http://data.sciencespo.fr/;at;0.0
http://data.sciencespo.fr/;au;0.0
http://data.sciencespo.fr/;be;0.0
http://data.sciencespo.fr/;bg;0.0
http://data.sciencespo.fr/;br;0.0
http://data.sciencespo.fr/;ca;0.0
http://data.sciencespo.fr/;ch;0.0
http://data.sciencespo.fr/;cz;0.0
http://data.sciencespo.fr/;de;0.0
http://data.sciencespo.fr/;dk;0.0
http://data.sciencespo.fr/;es;0.0
http://data.sciencespo.fr/;fi;0.0
http://data.sciencespo.fr/;fr;0.0
http://data.sciencespo.fr/;gr;0.0
http://data.sciencespo.fr/;hr;0.0
http://data.sciencespo.fr/;hu;0.0
http://data.sciencespo.fr/;ie;0.0
http://data.sciencespo.fr/;it;0.0
http://data.sciencespo.fr/;jp;0.0
http://data.sciencespo.fr/;nl;0.0
http://data.sciencespo.fr/;no;0.0
http://data.sciencespo.fr/;pl;0.0
http://data.sciencespo.fr/;pt;0.0
http://data.sciencespo.fr/;ro;0.0
http://data.sciencespo.fr/;se;0.0
http://data.sciencespo.fr/;si;0.0
http://data.sciencespo.fr/;sk;0.0
http://data.sciencespo.fr/;tr;0.0
http://data.sciencespo.fr/;uk;0.0
http://data.sciencespo.fr/;us;0.0
http://data.utm.csic.es/;at;0.0
http://data.utm.csic.es/;au;0.0
http://data.utm.csic.es/;be;0.0
http://data.utm.csic.es/;bg;0.0
http://data.utm.csic.es/;br;0.0
http://data.utm.csic.es/;ca;0.0
http://data.utm.csic.es/;ch;0.0
http://data.utm.csic.es/;cz;0.0
http://data.utm.csic.es/;de;0.0
http://data.utm.csic.es/;dk;0.0
http://data.utm.csic.es/;es;0.0
http://data.utm.csic.es/;fi;0.0
http://data.utm.csic.es/;fr;0.0
http://data.utm.csic.es/;gr;0.0
http://data.utm.csic.es/;hr;0.0
http://data.utm.csic.es/;hu;0.0
http://data.utm.csic.es/;ie;0.0
http://data.utm.csic.es/;it;0.0
http://data.utm.csic.es/;jp;0.0
http://data.utm.csic.es/;nl;0.0
http://data.utm.csic.es/;no;0.0
http://data.utm.csic.es/;pl;0.0
http://data.utm.csic.es/;pt;0.0
http://data.utm.csic.es/;ro;0.0
http://data.utm.csic.es/;se;0.0
http://data.utm.csic.es/;si;0.0
http://data.utm.csic.es/;sk;0.0
http://data.utm.csic.es/;tr;0.0
http://data.utm.csic.es/;uk;0.0
