domain;dois_number;mean_visibility_index;h_index;category
https://edata.bham.ac.uk/;26;0.0;1;social
https://ddd.uab.cat/;25;0.05417666666666666;1;social
https://datacite.org/;25;0.00025499999999999666;1;social
https://www.hydroshare.org/;25;0.0;1;economic
https://www.research-collection.ethz.ch/;24;0.06154999999999999;1;social
https://access.clarivate.com/;24;0.01399166666666666;1;economic
https://www.sciencebase.gov/;24;0.005481666666666663;2;social
https://catalog.paradisec.org.au/;24;0.0;1;social
https://discuss-data.net/;24;0.0;0;social
https://onlinelibrary.wiley.com/;23;2.0512433333333333;1;economic
http://amsacta.unibo.it/;23;0.011238333333333328;0;economic
https://data.mendeley.com/;23;0.0015016666666666633;1;economic
https://data.qdr.syr.edu/;23;0.0;1;economic
https://livewire.energy.gov/;23;0.0;0;social
https://digibug.ugr.es/;22;0.08449333333333332;1;social
https://conservancy.umn.edu/;22;0.003694999999999993;1;economic
https://dataspace.princeton.edu/;22;0.0025033333333333335;0;social
https://ore.exeter.ac.uk/;22;0.001546666666666667;1;social
https://diginole.lib.fsu.edu/;22;0.0014883333333333333;0;social
https://www.nordicstatistics.org/;22;0.0006233333333333334;1;economic
http://scitation.org/;22;0.0;0;social
https://www.research-collection.ethz.ch/;21;0.06154999999999998;1;economic
https://mountainscholar.org/;21;0.0010866666666666633;0;social
https://metadata.fdz.dzhw.eu/;21;0.00014000000000000001;2;social
https://www.sodha.be/;21;0.0;0;economic
https://www.fs.usda.gov/;20;0.7842083333333334;1;economic
https://dataverse.no/;20;0.00015666666666666666;1;economic
https://www.hepdata.net/;20;0.0001;0;social
https://ldbase.org:443/;20;0.0;0;social
https://zenodo.org/;19;0.02540166666666666;1;economic
https://www.nordicstatistics.org/;19;0.0006233333333333334;0;social
https://darchive.mblwhoilibrary.org/;19;0.00023500000000000002;1;economic
https://livewire.energy.gov/;19;0.0;0;economic
https://collections.dartmouth.edu/;18;0.0013749999999999967;0;economic
https://cebs.niehs.nih.gov/;18;7.333333333333e-05;0;economic
https://digitallibrary.amnh.org/;18;6.666666666666667e-06;1;social
https://a2e.energy.gov/;18;0.0;0;social
https://hub.worldpop.org/;18;0.0;1;social
https://morphobank.org/;18;0.0;1;economic
https://ssh.datastations.nl/;18;0.0;1;social
https://digital.csic.es/;17;0.105685;0;economic
https://cebs.niehs.nih.gov/;17;7.333333333333e-05;0;social
https://darus.uni-stuttgart.de/;17;0.0;1;social
https://dataverse.ada.edu.au/;16;3.499999999999666e-05;0;social
https://pubs.aip.org/;16;0.0;0;social
https://quod.lib.umich.edu/;15;0.31076333333333334;0;economic
https://www.compadre.org/;15;0.015213333333333334;0;social
https://pdxscholar.library.pdx.edu/;15;0.010149999999999996;0;social
https://figshare.com/;15;0.005976666666666657;1;economic
https://clients.adaptivebiotech.com/;15;0.0;0;social
https://dataverse.ucla.edu/;15;0.0;0;social
https://dataverse.unc.edu/;15;0.0;1;economic
https://figsh.com/;15;0.0;0;social
https://fluxnet.org/;15;0.0;1;social
https://dl.acm.org/;14;0.17083;3;economic
https://ses.library.usyd.edu.au/;14;0.010118333333333325;1;social
https://dataverse.ada.edu.au/;14;3.499999999999666e-05;0;economic
https://ngt-data.lbl.gov/;14;0.0;1;social
https://datadryad.org/;13;0.0054366666666666634;1;economic
https://datarepository.wolframcloud.com/;13;0.00017333333333333334;2;economic
https://edx.netl.doe.gov/;12;0.00053;1;social
http://data.sciencespo.fr/;12;0.0;1;social
https://data.worldpop.org/;12;0.0;2;social
https://researchdata.ntu.edu.sg/;12;0.0;1;economic
https://www.accessscience.com/;11;0.033249999999999995;0;economic
https://f1000research.com/;11;0.00663;0;economic
https://edx.netl.doe.gov/;11;0.00053;1;economic
https://metadata.fdz.dzhw.eu/;11;0.00014000000000000001;2;economic
https://drum.lib.umd.edu/;11;9e-05;0;social
https://dataverse.asu.edu/;11;0.0;1;social
https://discuss-data.net/;11;0.0;0;economic
https://entrepot.recherche.data.gouv.fr/;11;0.0;2;social
https://research.repository.duke.edu/;11;0.0;1;economic
https://vedas.sac.gov.in/;10;0.00020499999999999997;0;social
https://data.nrel.gov/;10;2.8333333333333335e-05;1;economic
https://edata.stfc.ac.uk/;10;3.3333333333333333e-06;0;social
https://www.ebi.ac.uk/;9;0.5706266666666667;0;social
https://www.schwabeonline.ch/;9;0.03493333333333334;0;economic
https://publons.com/;9;0.014941666666666655;0;economic
https://archaeologydataservice.ac.uk/;9;0.010176666666666667;0;social
https://genome.jgi.doe.gov/;9;0.003625000000000001;0;social
https://rune.une.edu.au/;9;0.0006116666666666666;0;economic
https://mnspruce.ornl.gov/;9;0.00017166666666666667;1;social
https://edatos.consorciomadrono.es/;9;0.00014833333333333332;1;economic
https://rs.figshare.com/;9;3.8333333333333334e-05;0;social
https://edata.bham.ac.uk/;9;0.0;0;economic
https://www.researchgate.net/;8;4.404945;0;economic
https://jyx.jyu.fi/;8;0.2848866666666667;1;economic
https://idus.us.es/;8;0.15596;0;social
https://upcommons.upc.edu/;8;0.13751;1;social
https://www.icpsr.umich.edu/;8;0.02917999999999999;0;economic
https://riubu.ubu.es/;8;0.016238333333333334;0;economic
https://wellcomeopenresearch.org/;8;0.0013566666666666666;1;social
https://www.wdc-climate.de/;8;0.0011083333333333299;1;social
https://reshare.ukdataservice.ac.uk/;8;0.0002683333333333333;1;social
https://data.ess-dive.lbl.gov/;8;4.9999999999999996e-06;1;economic
https://springernature.figshare.com/;8;3.3333333333333333e-06;0;economic
https://archive.data.jhu.edu/;8;0.0;0;economic
https://dataverse.cirad.fr/;8;0.0;0;economic
https://uvadoc.uva.es/;7;0.19376333333333334;0;social
https://www.uvm.edu/;7;0.12590166666666663;0;social
https://pubs.rsna.org/;7;0.10270333333333334;0;economic
https://pdxscholar.library.pdx.edu/;7;0.010149999999999996;0;economic
https://digitalcommons.chapman.edu/;7;0.006789999999999981;0;social
https://gdr.openei.org/;7;0.0006566666666666666;0;economic
https://repository.kaust.edu.sa/;7;6.333333333333333e-05;1;social
https://adc.arm.gov/;7;3.3333333333333335e-05;0;social
https://data.nrel.gov/;7;2.8333333333333335e-05;1;social
https://researchdata.reading.ac.uk/;7;2.6666666666666663e-05;2;economic
https://borealisdata.ca/;7;0.0;0;economic
https://dataverse.ird.fr/;7;0.0;0;economic
https://www.aarp.org/;6;0.7635733333333333;4;social
https://riunet.upv.es/;6;0.176805;0;social
https://digibug.ugr.es/;6;0.08449333333333332;1;economic
https://edoc.hu-berlin.de/;6;0.03449833333333333;1;social
https://www.un-ilibrary.org/;6;0.010464999999999993;1;social
http://reactome.org/;6;0.00734;0;social
https://espace.library.uq.edu.au/;6;0.004096666666666663;0;economic
https://dataspace.princeton.edu/;6;0.0025033333333333335;0;economic
https://diginole.lib.fsu.edu/;6;0.0014883333333333335;0;economic
https://scholarworks.boisestate.edu/;6;0.0011083333333333333;1;economic
https://easy.dans.knaw.nl/;6;0.00109;0;social
https://portal.edirepository.org/;6;0.0003466666666666667;0;social
https://datacite.org/;6;0.00025499999999999666;0;economic
https://cortex.acr.org/;6;0.00024;0;social
https://bdc.c3sl.ufpr.br/;6;0.00015;0;social
https://dataworks.iupui.edu/;6;2.6666666666666663e-05;1;social
https://digitallibrary.usc.edu/;6;0.0;0;economic
https://ezid.cdlib.org/;6;0.0;1;social
https://geodoi.ac.cn/;6;0.0;1;economic
https://pubs.aip.org/;6;0.0;0;economic
https://wyoscholar.uwyo.edu/;6;0.0;0;social
https://link.springer.com/;5;6.462606666666668;0;social
https://www.maxwell.vrac.puc-rio.br/;5;0.09480833333333333;0;social
https://refubium.fu-berlin.de/;5;0.06551666666666665;1;social
https://riuma.uma.es/;5;0.06438333333333333;0;social
https://pubsonline.informs.org/;5;0.02644833333333333;0;social
https://ses.library.usyd.edu.au/;5;0.010118333333333325;1;economic
https://search.gesis.org/;5;0.00654499999999999;2;social
https://repository.si.edu/;5;0.0043649999999999965;1;social
http://www.internano.org/;5;0.00302833333333333;1;social
https://research-repository.griffith.edu.au/;5;0.0014916666666666598;0;social
https://catalogue.ceh.ac.uk/;5;0.0004483333333333334;0;social
https://loar.kb.dk/;5;0.00042666666666666667;0;social
https://mhkdr.openei.org/;5;0.00015666666666666666;0;social
https://www.disc.wisc.edu/;5;9e-05;0;social
https://inhabitingtheanthropocene.com/;5;3.0000000000000004e-05;0;social
https://www.knowledgette.com/;5;2.3333333333333332e-05;1;social
https://arcticdata.io/;5;2e-05;0;social
http://cxidb.org/;5;0.0;0;social
http://esdcdoi.esac.esa.int/;5;0.0;0;economic
https://darus.uni-stuttgart.de/;5;0.0;1;economic
https://data.sbgrid.org/;5;0.0;0;social
https://data.worldpop.org/;5;0.0;1;economic
https://dataspace.hkust.edu.hk/;5;0.0;1;social
https://hub.worldpop.org/;5;0.0;0;economic
https://iro.uiowa.edu/;5;0.0;0;social
https://lbezone.hkust.edu.hk/;5;0.0;0;economic
https://melbourne.figshare.com/;5;0.0;0;social
https://www.youtube.com/;4;61.70956;0;social
https://gredos.usal.es/;4;0.07249833333333333;0;social
https://osf.io/;4;0.030581666666666663;1;social
https://researchdata.bbk.ac.uk/;4;0.019848333333333336;0;social
https://centrodametropole.fflch.usp.br/;4;0.006536666666666666;0;social
https://seg.org/;4;0.0026433333333333335;0;economic
https://ore.exeter.ac.uk/;4;0.001546666666666667;0;economic
