domain,category,h_index
https://digitalcommons.uri.edu/,social,0
https://digitalcommons.usf.edu/,social,0
https://digitallibrary.amnh.org/,social,1
https://digitallibrary.usc.edu/,economic,0
https://digitallibrary.usc.edu/,social,0
https://digitallibrary.usc.edu:443/,social,0
https://discuss-data.net/,economic,0
https://discuss-data.net/,social,0
https://dl.acm.org/,economic,3
https://dl.acm.org/,social,3
https://doi.ccs.ornl.gov/,social,1
https://doi.gin.g-node.org/,social,1
https://doi.ipk-gatersleben.de:443/,social,0
https://doi.nrct.go.th/,economic,0
https://doi.nrct.go.th/,social,0
https://doi.org/,economic,1
https://doi.org/,social,1
https://doi.pangaea.de/,economic,3
https://doi.pangaea.de/,social,4
https://drum.lib.umd.edu/,economic,0
https://drum.lib.umd.edu/,social,0
https://dspace.emu.ee/,social,0
https://ease.org.uk/,social,0
https://easy.dans.knaw.nl/,social,0
https://ecat.ga.gov.au/,social,0
https://ecl.earthchem.org/,social,0
https://ecommons.cornell.edu/,social,0
https://edata.bham.ac.uk/,economic,0
https://edata.bham.ac.uk/,social,1
https://edata.stfc.ac.uk/,economic,0
https://edata.stfc.ac.uk/,social,0
https://edatos.consorciomadrono.es/,economic,1
https://edatos.consorciomadrono.es/,social,1
https://edoc.hu-berlin.de/,economic,0
https://edoc.hu-berlin.de/,social,1
https://edx.netl.doe.gov/,economic,1
https://edx.netl.doe.gov/,social,1
https://emeraldopenresearch.com/,social,0
https://entrepot.recherche.data.gouv.fr/,economic,1
https://entrepot.recherche.data.gouv.fr/,social,2
https://envidat.ch/,social,0
https://ep.liu.se/,economic,0
https://episodesplatform.eu/,social,0
https://eprints.glos.ac.uk/,social,0
https://eprints.lincoln.ac.uk/,social,0
https://eprints.soton.ac.uk/,economic,1
https://eprints.soton.ac.uk/,social,1
https://erdc-library.erdc.dren.mil/,social,0
https://espace.library.uq.edu.au/,economic,0
https://espace.library.uq.edu.au/,social,2
https://ets-data.sciopen.com/,economic,0
https://ets-data.sciopen.com/,social,0
https://extidp.ornl.gov/,social,0
https://ezid.cdlib.org/,social,1
https://f1000research.com/,economic,0
https://f1000research.com/,social,0
https://facultyopinions.com/,economic,0
https://facultyopinions.com/,social,1
https://fair.ornl.gov/,social,0
https://fdz.rwi-essen.de/,economic,0
https://fdz.rwi-essen.de/,social,0
https://figsh.com/,economic,0
https://figsh.com/,social,0
https://figshare.com/,economic,1
https://figshare.com/,social,2
https://fluxnet.org/,social,1
https://gatesopenresearch.org/,economic,0
https://gdr.openei.org/,economic,0
https://gdr.openei.org/,social,0
https://genome.jgi.doe.gov/,economic,0
https://genome.jgi.doe.gov/,social,0
https://geodoi.ac.cn/,economic,1
https://geodoi.ac.cn/,social,1
https://geolsoc.figshare.com/,social,0
https://gredos.usal.es/,economic,0
https://gredos.usal.es/,social,0
